Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_nobias_conv1d_scaleI', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=True, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Train 170, loss: 1.358926, train acc: 0.965900, train avg acc: 0.950703
Test 170, loss: 1.669757, test acc: 0.870340, test avg acc: 0.836320
Train 171, loss: 1.365319, train acc: 0.963966, train avg acc: 0.947936
Test 171, loss: 1.672128, test acc: 0.869125, test avg acc: 0.832953
Train 172, loss: 1.364741, train acc: 0.964882, train avg acc: 0.948778
Test 172, loss: 1.674183, test acc: 0.875203, test avg acc: 0.841983
Train 173, loss: 1.363021, train acc: 0.966511, train avg acc: 0.950370
Test 173, loss: 1.677974, test acc: 0.869530, test avg acc: 0.838703
Train 174, loss: 1.361637, train acc: 0.966002, train avg acc: 0.950265
Test 174, loss: 1.664618, test acc: 0.870340, test avg acc: 0.826273
Train 175, loss: 1.364101, train acc: 0.965187, train avg acc: 0.948910
Test 175, loss: 1.661404, test acc: 0.877634, test avg acc: 0.843826
Train 176, loss: 1.364487, train acc: 0.960708, train avg acc: 0.939805
Test 176, loss: 1.666711, test acc: 0.873177, test avg acc: 0.836291
Train 177, loss: 1.363098, train acc: 0.964475, train avg acc: 0.948095
Test 177, loss: 1.662526, test acc: 0.875203, test avg acc: 0.835076
Train 178, loss: 1.367978, train acc: 0.961217, train avg acc: 0.944850
Test 178, loss: 1.661564, test acc: 0.873987, test avg acc: 0.839029
Train 179, loss: 1.362181, train acc: 0.965086, train avg acc: 0.948707
Test 179, loss: 1.664540, test acc: 0.876013, test avg acc: 0.844279
Train 180, loss: 1.358572, train acc: 0.964577, train avg acc: 0.947931
Test 180, loss: 1.667027, test acc: 0.876013, test avg acc: 0.844279
